title,total_sales,critic_score
BoomBots,0.11,4.5
Borderlands,5.7700000000000005,8.266666666666667
Bottom of the 9th,0.14,8.0
Bottom of the 9th '97,0.02,6.0
Bottom of the 9th '99,0.05,5.0
Boulder Dash EX,0.0,7.7
Boxing,0.07,5.9
Boxing Fever,0.08,7.2
Brain Age: Concentration Training,0.36,7.5
Brave Fencer Musashi,1.14,8.4
Brave Story: New Traveler (US sales),0.11,7.5
Brave: A Warrior's Tale,0.12,4.550000000000001
Bravo Air Race,0.14,5.3
Breach,0.01,6.5
Breakout,0.11,4.9
Breath of Fire,0.22,7.8
Breath of Fire II,0.55,8.45
Breath of Fire III,1.04,6.8
Breath of Fire IV,0.56,8.4
Breath of Fire: Dragon Quarter,0.19,7.6
Brian Lara International Cricket 2007,0.01,7.3
Brink,1.95,6.966666666666666
Britney's Dance Beat,0.22,6.3
Broken Sword II: The Smoking Mirror,0.06,7.3
Broken Sword: Shadow of the Templars - The Director's Cut,0.24,7.5
Broken Sword: The Shadow of the Templars,0.06,8.1
Brothers In Arms: D-Day,0.46,6.8
Brothers In Arms: Hell's Highway,1.81,6.8
Brothers in Arms: Double Time,0.13,4.6
Brothers in Arms: Hell's Highway,0.02,6.0
Bruce Lee: Return of the Legend,0.01,8.4
Brunswick Circuit Pro Bowling,0.18,8.2
Brunswick Circuit Pro Bowling 2,0.11,7.0
Brunswick Pro Bowling,0.21,6.5
Brutal Legend,1.91,8.2
Bubble Bobble: Old & New,0.06,5.5
Bubsy 3D,0.19,5.8
Buck Bumble,0.16,6.8
Buffy the Vampire Slayer: Wrath of the Darkhul King,0.03,4.6
Bugriders: The Race of Kings,0.02,3.0
Bugs Bunny & Taz: Time Busters,0.21,8.0
Bugs Bunny: Lost in Time,0.4,7.0
Bullet Witch,0.1,6.6
Bulletstorm,1.72,8.533333333333333
Bully: Scholarship Edition,1.62,7.7
Burning Road,0.12,6.0
Burnout,0.3,7.7
Burnout 3: Takedown,3.99,9.3
Burnout Dominator,0.45,7.8
Burnout Legends,1.03,6.1
Burnout Paradise,3.3,8.95
Burnout Paradise Remastered,0.48,8.0
Burnout Paradise: The Ultimate Box,0.07,9.0
Burnout Revenge,1.4,8.9
Bushido Blade,1.16,8.2
Bushido Blade 2,0.68,7.5
Bust A Groove,0.54,7.7
Bust A Groove 2,0.26,7.0
Bust-A-Move '99,0.32,7.7
Bust-A-Move 2 Arcade Edition,0.2,6.9
Bust-A-Move 4,0.22,7.8
Bust-A-Move Deluxe,0.14,7.1
Bust-A-Move Universe,0.31,5.6
Buster Bros. Collection,0.07,6.9
Butt Ugly Martians: B.K.M. Battles,0.25,6.0
Buzz! Brain Bender,0.0,6.5
Buzz! Master Quiz,0.9,7.0
Buzz! Quiz TV,0.88,7.9
Buzz! Quiz World,0.01,5.9
C.O.P.: The Recruit,0.08,5.7
C.O.R.E.,0.04,4.4
C: The Contra Adventure,0.07,4.2
CIMA: The Enemy,0.03,6.8
CT Special Forces,0.03,5.9
CT Special Forces 2: Back in the Trenches,0.01,7.4
